"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","favorited_by"
"x877999024334184448","x1308244317576683520",2020-09-22 03:18:45,"ARMYTEAMIDN","[💜]

Bapak Presiden @Jokowi akan bergabung bersama Kepala Negara lain dan berbicara di depan Sidang Umum PBB ke-75 #UN75 ￼. 

Dimana BTS juga akan menjadi salah satu pembicara.

#방탄소년단 #BTS @BTS_twt https://t.co/4yCGIddmdy","Twitter for iPhone",198,,,,FALSE,FALSE,56885,22598,,,"UN75 방탄소년단 BTS",,,,,"http://pbs.twimg.com/media/EifRRVrUwAE4qXu.jpg","https://t.co/4yCGIddmdy","https://twitter.com/ARMYTEAMIDN/status/1308244317576683520/photo/1","photo","http://pbs.twimg.com/media/EifRRVrUwAE4qXu.jpg http://pbs.twimg.com/media/EifRRVqUMAAj-F9.jpg","https://t.co/4yCGIddmdy https://t.co/4yCGIddmdy","https://twitter.com/ARMYTEAMIDN/status/1308244317576683520/photo/1 https://twitter.com/ARMYTEAMIDN/status/1308244317576683520/photo/1",,"x366987179 x335141638","jokowi BTS_twt","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ARMYTEAMIDN/status/1308244317576683520","BTS — ARMYTEAM 3","Indonesia","akun back up @ARMYTEAMIID","https://t.co/HNpMoje6Oz",FALSE,126848,74,603,10706,466,2017-06-22 21:17:34,FALSE,"https://t.co/HNpMoje6Oz","http://armyteamid.carrd.co",,"https://pbs.twimg.com/profile_banners/877999024334184448/1603122201",,"http://pbs.twimg.com/profile_images/1318216167069077504/Kg8lBe1J_normal.jpg","jokowi"
"x808589804669575168","x1302534097693077504",2020-09-06 09:08:23,"Bro_Otong","@jokowi Pak, ini goresan tangan putra saya pelajar SMP 14thn. https://t.co/24RKiYi2k4","Twitter for Android",53,"x1302527247589335041","x366987179","jokowi",FALSE,FALSE,23962,2318,,,,,,,,"http://pbs.twimg.com/media/EhOH26OVoAIn9VO.jpg","https://t.co/24RKiYi2k4","https://twitter.com/Bro_Otong/status/1302534097693077504/photo/1","photo","http://pbs.twimg.com/media/EhOH26OVoAIn9VO.jpg","https://t.co/24RKiYi2k4","https://twitter.com/Bro_Otong/status/1302534097693077504/photo/1",,"x366987179","jokowi","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Bro_Otong/status/1302534097693077504","Bro Otong","Palembang, South Sumatra","❤️ NKRI ❤️ PANCASILA ❤️
KOPI OTONG",,FALSE,144,296,0,191,100,2016-12-13 08:30:07,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1235916880428142593/DEVL9Y3Z_normal.jpg","jokowi"
"x468122115","x1300639511265722368",2020-09-01 03:39:58,"AbeShinzo","Perkenankan saya mengucapkan terima kasih yang setulus-tulusnya atas pesan hangat yang telah Yang Mulia tulis. https://t.co/NTsVwitEAI","Twitter for iPhone",110,,,,TRUE,FALSE,24627,5010,,,,,"twitter.com/jokowi/status/…","https://t.co/NTsVwitEAI","https://twitter.com/jokowi/status/1299328348565381120",,,,,,,,,,,"in","x1299328348565381120","PM Abe was one of the first world leaders I met when I took office as President of Indonesia in 2014. Under his leadership, we witness stronger bilateral relations between Indonesia-Japan.

Thank you PM @AbeShinzo @JPN_PMO for your friendship. Wishing you good health always. https://t.co/kr0ZSEKK4B",2020-08-28 12:49:53,"Twitter for Android",21612,4262,"x366987179","jokowi","Joko Widodo",14849595,59,2871,"Jakarta","Akun Twitter resmi Presiden Republik Indonesia Joko Widodo 🇮🇩. 
#MenujuIndonesiaMaju",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AbeShinzo/status/1300639511265722368","安倍晋三","","衆議院議員安倍晋三（あべしんぞう）の公式twitterです。","https://t.co/9EkvILPzUL",FALSE,2310034,18,12954,2204,11,2012-01-19 06:02:29,TRUE,"https://t.co/9EkvILPzUL","http://www.s-abe.or.jp/",,"https://pbs.twimg.com/profile_banners/468122115/1507347517","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1765776666/s-abetwitter1_normal.png","jokowi"
"x131067929","x1291956976042168321",2020-08-08 04:38:41,"dwi_metal","@jokowi Ada 10 pelanggaran :
1. No masker aktifitas luar ruang (no 1, 2 &amp; 3)
2. No masker saat olahraga (no 5)
3. Penjual no masker saat melayani (no 4 &amp; 7)
4. No masker &amp; tidak jaga jarak saat makan di tempat umum (no 6)
5. Tdk jaga jarak (no 8 &amp; 9)
6. No masker &amp; tdk jaga jarak (no 10) https://t.co/UoTIHCctGt","Twitter for Android",300,"x1291951942076256257","x366987179","jokowi",FALSE,FALSE,1061,94,,,,,,,,"http://pbs.twimg.com/media/Ee30BX_UYAAojo3.jpg","https://t.co/UoTIHCctGt","https://twitter.com/dwi_metal/status/1291956976042168321/photo/1","photo","http://pbs.twimg.com/media/Ee30BX_UYAAojo3.jpg","https://t.co/UoTIHCctGt","https://twitter.com/dwi_metal/status/1291956976042168321/photo/1",,"x366987179","jokowi","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dwi_metal/status/1291956976042168321","Dwi Wijayanto","on leather saddle","When in doubt, just pray and let god guide you

YNWA","https://t.co/YzbbzINfjx",FALSE,528,646,7,7351,1048,2010-04-09 04:57:44,FALSE,"https://t.co/YzbbzINfjx","http://www.istockphoto.com/sg/portfolio/dwi_metal",,"https://pbs.twimg.com/profile_banners/131067929/1413204696","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/981502971081928704/OXgKLKH-_normal.jpg","jokowi"
"x260686783","x1251668268697317376",2020-04-19 00:25:44,"setkabgoid","Pesan Presiden @jokowi kepada masyarakat untuk bergotong royong dan saling membantu.

Simak selengkapnya yuk, #KawanKabinet! https://t.co/BvNju61FJ8","Twitter for Android",124,,,,TRUE,FALSE,2211,221,,,"KawanKabinet",,"twitter.com/jokowi/status/…","https://t.co/BvNju61FJ8","https://twitter.com/jokowi/status/1251516698915569669",,,,,,,,,"x366987179","jokowi","in","x1251516698915569669","Masa-masa sulit yang kita hadapi saat ini tetap menyisakan harapan berupa kepedulian warga untuk bergotong-royong dan saling membantu. 

Kita tidak saja bersama-sama mengatasi penyebaran virus korona ini, tapi juga menjaga perekonomian tetap bergerak dan berputar. (1/2) https://t.co/wtDiweCSbz",2020-04-18 14:23:27,"Twitter for Android",13236,2138,"x366987179","jokowi","Joko Widodo",14849595,59,2871,"Jakarta","Akun Twitter resmi Presiden Republik Indonesia Joko Widodo 🇮🇩. 
#MenujuIndonesiaMaju",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/setkabgoid/status/1251668268697317376","Sekretariat Kabinet","Jakarta","Akun resmi Sekretariat Kabinet RI. Kontak: humas@setkab.go.id, Facebook: @Setkabgoid, Instagram: @sekretariat.kabinet, YouTube: Sekretariat Kabinet RI","https://t.co/EHJ3cG08Ra",FALSE,1083978,93,487,51709,175,2011-03-04 11:27:52,TRUE,"https://t.co/EHJ3cG08Ra","http://www.setkab.go.id",,"https://pbs.twimg.com/profile_banners/260686783/1598965413","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1139000915250180096/2F8dXi2W_normal.jpg","jokowi"
"x1010619590","x1239901536819404802",2020-03-17 13:08:57,"Nruulll","8 thun sy sbgai prwt,bru kali ini sya mngalami hal luar biasa pk.puluhan chat msk ke sy ngasih smgt dn doa buat sy dn tman2,saya trharu dn menangis pak,trimkasih support nya di sela2 bencana ini pk,dari sya perawat isolasi covid 19 🙏🙏😢😢 https://t.co/3dYyUpLaQd","Twitter for iPhone",236,,,,TRUE,FALSE,51678,12731,,,,,"twitter.com/jokowi/status/…","https://t.co/3dYyUpLaQd","https://twitter.com/jokowi/status/1239844177380139013",,,,,,,,,,,"in","x1239844177380139013","Sebagian mereka mungkin tak sempat memikirkan hari peringatan profesi sendiri. Mereka sibuk melaksanakan tanggung jawab di ruang-ruang perawatan rumah sakit, klinik, dan pusat kesehatan.

Bersama para dokter dan paramedis lain, mereka berjuang untuk kesehatan rakyat bangsa ini. https://t.co/AziQMs4fEi",2020-03-17 09:21:01,"Twitter for Android",39012,11574,"x366987179","jokowi","Joko Widodo",14849595,59,2871,"Jakarta","Akun Twitter resmi Presiden Republik Indonesia Joko Widodo 🇮🇩. 
#MenujuIndonesiaMaju",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nruulll/status/1239901536819404802","Zr.luna","","takdirku menyembuhkan lukamu bukan melukaimu,pergi saja tinggalkan aku saat luka mu telah mengering",,FALSE,3857,2802,0,18096,35071,2012-12-14 07:32:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/1010619590/1582402160","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1319606840368353282/9D-XlQxw_normal.jpg","jokowi"
"x34116377","x1226356361589510144",2020-02-09 04:05:15,"ScottMorrisonMP","Wonderful to welcome our good friend and great neighbour President @jokowi from Indonesia. After lunch the Governor-General took the President on a Roo tour where we spotted quite a few. We’ll be catching up for an informal dinner tonight before official engagements tomorrow. https://t.co/UV8U96ucWV","Twitter for iPhone",276,,,,FALSE,FALSE,2835,262,,,,,,,,"http://pbs.twimg.com/media/EQTkmJpUwAEW6sk.jpg","https://t.co/UV8U96ucWV","https://twitter.com/ScottMorrisonMP/status/1226356361589510144/photo/1","photo","http://pbs.twimg.com/media/EQTkmJpUwAEW6sk.jpg","https://t.co/UV8U96ucWV","https://twitter.com/ScottMorrisonMP/status/1226356361589510144/photo/1",,"x366987179","jokowi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScottMorrisonMP/status/1226356361589510144","Scott Morrison","Canberra, Australia","Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party of Australia, Canberra.","https://t.co/3pdq8hVjAJ",FALSE,481445,1735,1942,7879,37,2009-04-22 00:51:17,TRUE,"https://t.co/3pdq8hVjAJ","https://www.liberal.org.au/sign-up",,"https://pbs.twimg.com/profile_banners/34116377/1554978264","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1116081523394891776/AYnEcQnG_normal.png","jokowi"
"x274270143","x1198225652853309441",2019-11-23 13:03:52,"KCC_Indonesia","#인도네시아 #조코위 #대통령

“한국 국민 여러분~~” 조코위 인도네시아 대통령 셀카 찰칵 / 연합뉴스 (Yonhapnews)

https://t.co/JbQCwUuQog https://t.co/S1oTqngZcX","Twitter for Android",96,,,,FALSE,FALSE,3293,697,,,"인도네시아 조코위 대통령",,"youtu.be/Bw2OTSfNWc8","https://t.co/JbQCwUuQog","https://youtu.be/Bw2OTSfNWc8","http://pbs.twimg.com/ext_tw_video_thumb/1198225443905605634/pu/img/5ismgcgx-TVutFEt.jpg","https://t.co/S1oTqngZcX","https://twitter.com/KCC_Indonesia/status/1198225652853309441/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1198225443905605634/pu/img/5ismgcgx-TVutFEt.jpg","https://t.co/S1oTqngZcX","https://twitter.com/KCC_Indonesia/status/1198225652853309441/video/1",,,,"ko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KCC_Indonesia/status/1198225652853309441","Korean Cultural Center Indonesia","Jakarta, Indonesia","We are the Korean Cultural Center of the Embassy of the Republic of Korea in Indonesia. Check for updates on news and events.","http://t.co/qKtWhoD61m",FALSE,34770,74,114,13901,11127,2011-03-30 01:46:59,FALSE,"http://t.co/qKtWhoD61m","http://id.korean-culture.org",,"https://pbs.twimg.com/profile_banners/274270143/1526957387","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/998774299572891648/7rBQOYjK_normal.jpg","jokowi"
"x16734909","x1179373415637159938",2019-10-02 12:31:48,"TurnbullMalcolm","Happy National Batik Day Indonesia. Ten years ago, UNESCO recognised batik as a masterpiece of Indonesian culture and expression. First Lady Ibu Iriana gave me this beautiful batik 🙏 and it was a pleasure to wear it when meeting my good friend President Jokowi. https://t.co/ZJPVhtsLX1","Twitter for iPhone",261,,,,TRUE,FALSE,1677,302,,,,,"twitter.com/jokowi/status/…","https://t.co/ZJPVhtsLX1","https://twitter.com/jokowi/status/1179364456356298758",,,,,,,,,,,"en","x1179364456356298758","Ini kisah tentang batik. Jumat lalu, saya kedatangan tamu, seorang sahabat, mantan Perdana Menteri Australia, Pak Malcolm Turnbull. 

Beliau mengenakan kemeja batik. Dan saya jadi pangling melihatnya. Pak Turnbull terlihat seperti bukan dari Australia. Seperti pria dari Solo... https://t.co/v9jnlJQdLO",2019-10-02 11:56:12,"Twitter for Android",13899,1562,"x366987179","jokowi","Joko Widodo",14849595,59,2871,"Jakarta","Akun Twitter resmi Presiden Republik Indonesia Joko Widodo 🇮🇩. 
#MenujuIndonesiaMaju",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TurnbullMalcolm/status/1179373415637159938","Malcolm Turnbull","Sydney, NSW, Australia","29th Prime Minister of Australia - 2015 -2018. https://t.co/8b99pSaleZ","https://t.co/8b99pSaleZ",FALSE,980059,570,3937,12326,1028,2008-10-14 07:18:41,TRUE,"https://t.co/8b99pSaleZ","http://www.malcolmturnbull.com.au",,"https://pbs.twimg.com/profile_banners/16734909/1463383968","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/378800000223732312/cd2615bfb2898972fc2cf9d8d2b9b9ef_normal.jpeg","jokowi"
"x2904055490","x1156099597632016389",2019-07-30 07:09:58,"DaltonSembiring","@jokowi Mantap Pakdhe Jokowi. Tiap bangsa maju percaya produk, cinta budaya dan lestarikan alam negeri sendiri. Jangan pernah lelah mencintai NKRI 💗","Twitter for iPhone",140,"x1156070298627653632","x366987179","jokowi",FALSE,FALSE,404,21,,,,,,,,,,,,,,,,"x366987179","jokowi","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DaltonSembiring/status/1156099597632016389","Dalton Sembiring","Under the sun","What we urgently needed is correct social advocacy in many aspect.",,FALSE,250,535,6,6617,2890,2014-11-19 02:10:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/2904055490/1437059496","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1086462290877046784/gFN8rjpD_normal.jpg","jokowi"
