"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x226868866","x1326106406043332614",2020-11-10 10:16:19,"dhikarinop","dapet angin segar yg mau ke sorong PP, bali PP tiap minggu,lombok PP tiap minggu, semarang PP kek naik gojek,  air asia lagi ada promo parah, tapi ga ada rute ke batam, ga ada efek lah sama saya. ndak jadi lah, kalo ke singapura sudah bisa, tak apa lah lewat singapura","Twitter for Android",268,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dhikarinop/status/1326106406043332614","Open Your Heart","Depok, Jawa Barat","GIS and Remote Sensing Officer||The Nature Conservancy","https://t.co/NlwvsKfuCd",FALSE,239,226,1,6409,179,2010-12-15 08:36:09,FALSE,"https://t.co/NlwvsKfuCd","http://me2day.net/riuzaki",,"https://pbs.twimg.com/profile_banners/226868866/1569745595","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1307859334903132162/4IqBhnPS_normal.jpg"
"x1210893035640197120","x1326106234454335489",2020-11-10 10:15:38,"bukhariast","gojek lemot banget ngga si anjing","Twitter for Android",33,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bukhariast/status/1326106234454335489","tan","","",,FALSE,727,483,7,41885,2167,2019-12-28 12:00:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/1210893035640197120/1604483203",,"http://pbs.twimg.com/profile_images/1316703080126136322/07s5INNd_normal.jpg"
"x154800255","x1326106216095916032",2020-11-10 10:15:34,"RdAmri20","@salmandryni @rhmwtksm @hasantuyyy @ardianpancaa Aku naik gojek duluan paling :)","Twitter for Android",31,"x1326105754827333633","x423264598","salmandryni",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x423264598 x333807611 x3591195619 x110090649","salmandryni rhmwtksm hasantuyyy ardianpancaa","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RdAmri20/status/1326106216095916032","amri.","unknown","Rakyat pada umumnya.",,FALSE,125,177,0,2700,1115,2010-06-12 06:44:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/154800255/1602499100","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1324871957653848064/YGylvkvw_normal.jpg"
"x1220743596111908865","x1326106204666388482",2020-11-10 10:15:31,"toimerde","@gojekindonesia halo min cek dm dari saya dong, perihal penyalah gunaan email saya dengan applikasi gojek","Twitter for iPhone",105,,"x226481275","gojekindonesia",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x226481275","gojekindonesia","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/toimerde/status/1326106204666388482","le fou","","i do what i wanna do",,FALSE,0,21,0,84,17,2020-01-24 16:22:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/1220743596111908865/1579883636",,"http://pbs.twimg.com/profile_images/1220746288125247488/9uywQ1ar_normal.jpg"
"x1004254896911048705","x1326106202586034176",2020-11-10 10:15:31,"motspersonal","@shockjeans Kalo gojek makanan masih manusiawi :( kalo bodyshop kek berapa ratus gt gasi... :/ i mean ik it's their money and decision and as they say, a gift and all and probably their way compensating inconveniences that had happened in the past tp, kek, damn, wow, aja wkkw","Twitter for Android",264,"x1326105162365038592","x754553190486450176","shockjeans",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x754553190486450176","shockjeans","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/motspersonal/status/1326106202586034176","titi⁷ 🥺 sh","","thank god this world has tannies 🥺
this is my ~all seriousness acc~
{ 22 | she/they | en/id | selective }",,FALSE,891,911,6,54883,54991,2018-06-06 06:53:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1004254896911048705/1604053488",,"http://pbs.twimg.com/profile_images/1322122276813205504/uEKgIv_P_normal.jpg"
"x1310935526300626946","x1326106139163910144",2020-11-10 10:15:16,"BANGSEOLIN","@JegIyoNoona Oke ulang
Makasih mba gojek😘😘","Twitter for Android",29,"x1326106006858788864","x1297929396943114251","JegIyoNoona",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1297929396943114251","JegIyoNoona","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BANGSEOLIN/status/1326106139163910144","KANG NGEPEL SKZ♕︎ LAGI REST","she|her      📎selective","🌬𝗜 𝗰𝗼𝘂𝗹𝗱 𝘀𝗮𝗰𝗿𝗶𝗳𝗶𝗰𝗲 𝗲𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴 𝗳𝗼𝗿 #𝐒𝐊𝐙   #3RACHA𓅹 #DANCERACHA𓅸 #VOCALRACHA𓅺
🐰SEO SPEARB🐖","https://t.co/RJhxi3NJHE",FALSE,368,456,2,6338,3252,2020-09-29 13:33:13,FALSE,"https://t.co/RJhxi3NJHE","http://www.changbinseo.xn--0qah2a36aa4215c/",,"https://pbs.twimg.com/profile_banners/1310935526300626946/1604924644",,"http://pbs.twimg.com/profile_images/1325777573607952384/Vq2Zi8_h_normal.jpg"
"x1310935526300626946","x1326105751589318657",2020-11-10 10:13:43,"BANGSEOLIN","@JegIyoNoona Alhamdulillah, Makasih om gojek","Twitter for Android",31,"x1326105316665163776","x1297929396943114251","JegIyoNoona",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1297929396943114251","JegIyoNoona","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BANGSEOLIN/status/1326105751589318657","KANG NGEPEL SKZ♕︎ LAGI REST","she|her      📎selective","🌬𝗜 𝗰𝗼𝘂𝗹𝗱 𝘀𝗮𝗰𝗿𝗶𝗳𝗶𝗰𝗲 𝗲𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴 𝗳𝗼𝗿 #𝐒𝐊𝐙   #3RACHA𓅹 #DANCERACHA𓅸 #VOCALRACHA𓅺
🐰SEO SPEARB🐖","https://t.co/RJhxi3NJHE",FALSE,368,456,2,6338,3252,2020-09-29 13:33:13,FALSE,"https://t.co/RJhxi3NJHE","http://www.changbinseo.xn--0qah2a36aa4215c/",,"https://pbs.twimg.com/profile_banners/1310935526300626946/1604924644",,"http://pbs.twimg.com/profile_images/1325777573607952384/Vq2Zi8_h_normal.jpg"
"x808335150505291776","x1326106011749421056",2020-11-10 10:14:45,"mediocrickey","@AndreasMarbun_ @jakpost gojek jg msh rugi, kalo dia IPO lu mau beli gak?","Twitter for Android",48,"x1326088816914882566","x70662916","AndreasMarbun_",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x70662916 x68577507","AndreasMarbun_ jakpost","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mediocrickey/status/1326106011749421056","medioker","Anón, Puerto Rico","bukan sirkel manapun","https://t.co/VFgMvsDbjw",FALSE,38958,749,42,68795,1274,2016-12-12 15:38:12,FALSE,"https://t.co/VFgMvsDbjw","http://instagram.com/mediocrickey",,"https://pbs.twimg.com/profile_banners/808335150505291776/1584964732",,"http://pbs.twimg.com/profile_images/1222838382151102465/kDxe2jTB_normal.jpg"
"x56725054","x1326105741837496321",2020-11-10 10:13:41,"yongki_rettob","@hanskristiann iya, 15mnt naik gojek dari rumah...","Twitter Web App",35,"x1326105394561740800","x96740262","hanskristiann",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x96740262","hanskristiann","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yongki_rettob/status/1326105741837496321","Silfester Rettob","","♉️ || Moluccan || Food - Art - Travel - Plants ! 🇮🇩",,FALSE,1552,569,5,43779,1418,2009-07-14 15:30:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/56725054/1548597104","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313140823022690304/9h4aLs7X_normal.jpg"
"x408283016","x1326105638905151488",2020-11-10 10:13:16,"amandadinini","Dari Tengah Tol langsung mutusin turun mobil,naik bukit ke jembatan, trus pesen gojek. Yaa Allah ini bener2 #nyusahin tingkat dewa... untg aja maskapai pada delay-in, kalo gak udah ketinggalan pesawat dah. Gak abis pikir mereka dapat pahala macam apa dengan ngelakuin aksi ini. https://t.co/qvodtmoh3U","Twitter for iPhone",277,,,,FALSE,FALSE,1,0,,,"nyusahin",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1326105545128898562/pu/img/BBli8Gt2v3ex01ah.jpg","https://t.co/qvodtmoh3U","https://twitter.com/amandadinini/status/1326105638905151488/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1326105545128898562/pu/img/BBli8Gt2v3ex01ah.jpg","https://t.co/qvodtmoh3U","https://twitter.com/amandadinini/status/1326105638905151488/video/1",,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/amandadinini/status/1326105638905151488","Dini Dwi Amanda","Jakarta Selatan, DKI Jakarta","anak tengah","https://t.co/GjCGC4SPIg",FALSE,797,451,0,22260,2228,2011-11-09 06:49:27,FALSE,"https://t.co/GjCGC4SPIg","http://facebook.com/early.amanda",,"https://pbs.twimg.com/profile_banners/408283016/1591339183","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1309209668145692673/jDm1AS8o_normal.jpg"
"x321252586","x1326104952217853952",2020-11-10 10:10:33,"solustaurum","@skiput_ Kalo gue sih mendingan si cewenya dipesenin gojek, biar ga ngerepotin terus kaga berat juga dorongnya wkwkwkwk","Twitter for Android",110,"x1326045887047479296","x352364656","skiput_",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x352364656","skiput_","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/solustaurum/status/1326104952217853952","Nugroho, Tito","Neither in heaven or hell","Tyrannus et Imperium.
PSN : ngrhtito21",,FALSE,354,131,1,38337,476,2011-06-21 08:07:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/321252586/1585998927","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322128083017555969/tEXQJHK__normal.jpg"
"x1254225309919895554","x1326104934496919554",2020-11-10 10:10:28,"AprilliyaniAfni","jadi gini aku first time jajan ke tekun sendirian, ga first time sih suka jajan tekun tapi gofood gojek, dengan pede nya aku mesen ""a pesen mangga yakult 2, lyce yakult 3"" si aa malah diem natap urang, trus bilang ""teh maaf, pesennya sebelah sana"" anjim malunya sampe skrg:(","Twitter for Android",274,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AprilliyaniAfni/status/1326104934496919554","APRIL","","aku cantik titik gapake koma kalo kamu bilang aku jelek mata kamu buta","https://t.co/imttU8MV5v",FALSE,106,184,0,345,530,2020-04-26 01:46:48,FALSE,"https://t.co/imttU8MV5v","http://instagram.com/afniaprilliyani",,"https://pbs.twimg.com/profile_banners/1254225309919895554/1604503866",,"http://pbs.twimg.com/profile_images/1321114580685254656/wAePziyK_normal.jpg"
